Date,Close/Last,Volume,Open,High,Low
11/23/2021,468.19,73206540,467.22,469.095,464.45
11/22/2021,467.57,72761950,470.89,473.54,467.35
11/19/2021,468.89,57315570,469.61,470.94,468.5
11/18/2021,469.73,50625610,469.24,470.01,466.34
11/17/2021,468.14,47858290,469,469.19,467.48
11/16/2021,469.28,48857500,467.15,470.485,467.07
11/15/2021,467.43,46980500,468.64,468.81,466.23
11/12/21,467.27,53466650,465.12,467.86,464.11
11/11/21,463.77,34848500,465.21,465.29,463.75
11/10/21,463.62,69429650,465.58,467.38,462.04
11/09/21,467.38,51149150,469.32,469.57,465.88
11/08/21,468.93,50405190,469.7,470.23,468.2031
11/05/21,468.53,66390560,469.28,470.65,466.92
11/04/21,466.91,52847090,465.36,467,464.99
11/03/21,464.72,52509830,461.3,465.15,460.83
11/02/21,461.9,48908420,460.22,462.23,460.08
11/01/21,460.04,48433640,460.3,460.7021,458.2
10/29/2021,459.25,70162420,455.87,459.56,455.56
10/28/2021,458.32,51437940,455.46,458.4,455.45
10/27/2021,453.94,72438000,456.45,457.16,453.86
10/26/2021,455.96,56075120,457.2,458.49,455.56
10/25/2021,455.55,45214510,454.28,455.9,452.39
10/22/2021,453.12,58845090,453.13,454.67,451.05
10/21/2021,453.59,41305440,451.77,453.829,451.31
10/20/2021,452.41,49571570,451.13,452.732,451.01
10/19/2021,450.64,46996830,448.92,450.71,448.27
10/18/2021,447.19,62213230,443.97,447.55,443.27
10/15/2021,445.87,66260210,444.75,446.26,444.09
10/14/2021,442.5,70236830,439.08,442.66,438.58
10/13/2021,435.18,72973980,434.71,436.05,431.54
10/12/21,433.62,71181160,435.67,436.1,432.78
10/11/21,434.69,65233290,437.16,440.26,434.62
10/08/21,437.86,74557400,439.48,439.89,437.19
10/07/21,438.66,72437500,438.39,441.68,438.2
10/06/21,434.9,113032200,429.27,435.1199,427.54
10/05/21,433.1,90682520,430.24,435.49,429.39
10/04/21,428.64,128570000,433,433.96,426.36
10/01/21,434.24,129240100,430.98,436.0329,427.23
09/30/2021,429.14,140506000,436.02,436.77,428.78
09/29/2021,434.45,82329210,435.19,437.04,433.85
09/28/2021,433.72,130436300,439.69,440.04,432.94
09/27/2021,442.64,61371110,442.81,444.05,441.9
09/24/2021,443.91,62094840,441.44,444.67,441.21
09/23/2021,443.18,76395980,439.85,444.89,439.6
09/22/2021,431.86,102350100,436.05,440.03,433.747
09/21/2021,433.63,92526110,436.53,437.91,433.07
09/20/2021,434.04,166445500,434.88,436.56,428.86
09/17/2021,441.4,118425000,444.92,445.37,441.02
09/16/2021,447.17,77786740,447.32,448.36,444.02
09/15/2021,447.88,78792220,444.62,448.41,443.44
09/14/2021,444.17,78197140,448.12,448.34,443.22
09/13/2021,446.58,83738650,448.64,448.92,444.11
09/10/21,445.44,89948170,451.04,451.49,445.31
09/09/21,448.98,57970410,450.7,452.57,448.72
09/08/21,450.91,56181910,450.89,451.67,448.86
09/07/21,451.46,51671530,452.71,452.81,450.7423
09/03/21,453.08,47234360,451.98,453.63,451.55
09/02/21,453.19,42830870,453.32,454.05,451.91
09/01/21,451.8,48721380,452.56,453.11,451.545
08/31/2021,451.56,59300210,452.13,452.49,450.92
08/30/2021,452.23,48357360,450.97,453.07,450.71
08/27/2021,450.25,77235110,447.12,450.65,447.06
08/26/2021,446.26,57829570,448.61,448.86,446.16
